GENSPECIES,Family
Batracobdella phalera,Hirudinea
Batracobdella sp.,Hirudinea
Erpobdella sp.,Hirudinea
Helobdella elongata,Hirudinea
Helobdella sp. ,Hirudinea
Helobdella sp. 1,Hirudinea
Helobdella stagnalis,Hirudinea
Helobdella triserialis,Hirudinea
Placobdella montifera,Hirudinea
Placobdella sp.,Hirudinea
Undetermined Erpobdellidae,Hirudinea
Undetermined Glossiphoniidae,Hirudinea
Undetermined Hirudinea,Hirudinea
Hydraena sp.,Hydraenidae
Undetermined Hydraenidae,Hydraenidae
Anacaena sp.,Hydrophilidae
Berosus sp.,Hydrophilidae
Crenitis sp.,Hydrophilidae
Helochares sp.,Hydrophilidae
Helophorus sp.,Hydrophilidae
Hydrobius sp.,Hydrophilidae
Hydrochara sp.,Hydrophilidae
Hydrochus sp.,Hydrophilidae
Laccobius sp.,Hydrophilidae
Undetermined Hydrophilidae,Hydrophilidae
Arctopsyche sp.,Hydropsychidae
Cheumatopsyche sp.,Hydropsychidae
Diplectrona sp.,Hydropsychidae
Homoplectra sp.,Hydropsychidae
Hydropsyche betteni,Hydropsychidae
Hydropsyche bidens,Hydropsychidae
Hydropsyche bronta,Hydropsychidae
Hydropsyche dicantha,Hydropsychidae
Hydropsyche leonardi,Hydropsychidae
Hydropsyche morosa,Hydropsychidae
Hydropsyche nr. depravata,Hydropsychidae
Hydropsyche orris,Hydropsychidae
Hydropsyche phalerata,Hydropsychidae
Hydropsyche recurvata,Hydropsychidae
Hydropsyche scalaris,Hydropsychidae
Hydropsyche separata,Hydropsychidae
Hydropsyche slossonae,Hydropsychidae
Hydropsyche sp.,Hydropsychidae
Hydropsyche sparna,Hydropsychidae
Hydropsyche valanis,Hydropsychidae
Hydropsyche ventura,Hydropsychidae
Hydropsyche venularis,Hydropsychidae
Hydropsyche walkeri,Hydropsychidae
Macrostemum carolina,Hydropsychidae
Macrostemum sp.,Hydropsychidae
Macrostemum zebratum,Hydropsychidae
Parapsyche apicalis,Hydropsychidae
Parapsyche sp.,Hydropsychidae
Potamyia sp.,Hydropsychidae
Undetermined Hydropsychidae,Hydropsychidae
Agraylea sp.,Hydroptilidae
Alisotrichia sp.,Hydroptilidae
Hydroptila ajax,Hydroptilidae
Hydroptila consimilis,Hydroptilidae
Hydroptila nr. albicornis,Hydroptilidae
Hydroptila nr. armata,Hydroptilidae
Hydroptila nr. hamata,Hydroptilidae
Hydroptila nr. waubesiana,Hydroptilidae
Hydroptila sp.,Hydroptilidae
Hydroptila spatulata,Hydroptilidae
Ithytrichia sp.,Hydroptilidae
Leucotrichia sp.,Hydroptilidae
Mayatrichia ayama,Hydroptilidae
Mayatrichia sp.,Hydroptilidae
Neotrichia sp.,Hydroptilidae
Orthotrichia sp.,Hydroptilidae
Oxyethira sp.,Hydroptilidae
Palaeagapetus celsus,Hydroptilidae
Palaeagapetus sp.,Hydroptilidae
Undetermined Hydroptilidae,Hydroptilidae
Isonychia bicolor,Isonychiidae
Isonychia obscura,Isonychiidae
Isonychia sp.,Isonychiidae
Undetermined Isonychiidae,Isonychiidae
Lepidostoma sp.,Lepidostomatidae
Undetermined Lepidostomatidae,Lepidostomatidae
Ceraclea alces,Leptoceridae
